Año;Mes;modelo;Variante del producto;SKU;GENERO;COLOR;DISEÑO;TALLA;tienda / ubicación;Cant. ordenada;fecha (mes año)
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TL] SPOTS MANGA LARGA CAB (L);SMLBLICA16TL;CAB;Blanco;Manga Larga;L;La Vela;2;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLIDA16TM] SPOTS MANGA LARGA DAMA (M);SMLBLIDA16TM;DAMA;Blanco;Manga Larga;M;La Vela;2;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TS] SPOTS MANGA LARGA CAB (S);SMLBLICA16TS;CAB;Blanco;Manga Larga;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TXL] SPOTS MANGA LARGA CAB (XL);SMLBLICA16TXL;CAB;Blanco;Manga Larga;XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TM] SPOTS MANGA LARGA CAB (M);SMLBLICA16TM;CAB;Blanco;Manga Larga;M;La Vela;3;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNEDA16TXL] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, XL);SMCBNEDA16TXL;DAMA;Blanco;Nueva Esparta;XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNECA16TXL] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, XL);SMCBNECA16TXL;CAB;Blanco;Nueva Esparta;XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TS] SPOTS MANGA LARGA CAB (S);SMLBLICA16TS;CAB;Blanco;Manga Larga;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TS] SPOTS MANGA LARGA CAB (S);SMLBLICA16TS;CAB;Blanco;Manga Larga;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNEDA16TL] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, L);SMCBNEDA16TL;DAMA;Blanco;Nueva Esparta;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TL] SPOTS MANGA LARGA CAB (L);SMLBLICA16TL;CAB;Blanco;Manga Larga;L;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNEDA16TXL] SPOTS MANGA CORTA DAMA (Blanco/ Nueva Esparta, XL);SMCBNEDA16TXL;DAMA;Blanco;Nueva Esparta;XL;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNECA16TS] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, S);SMCBNECA16TS;CAB;Blanco;Nueva Esparta;S;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA LARGA;[SMLBLICA16TM] SPOTS MANGA LARGA CAB (M);SMLBLICA16TM;CAB;Blanco;Manga Larga;M;La Vela;1;agosto-2026
2026;agosto;SPOTS MANGA CORTA;[SMCBNECA16TL] SPOTS MANGA CORTA CAB (Blanco/ Nueva Esparta, L);SMCBNECA16TL;CAB;Blanco;Nueva Esparta;L;La Vela;1;agosto-2026
